nid,aid
1,2079
2,2988
3,2079
4,2079
5,2079
6,2988
7,2079
8,4067
9,3434
10,3434
11,5306
12,84
13,84
14,5219
15,2079
16,1538
17,2508
18,1
19,4888
20,1538
21,595
22,2079
23,2079
24,2079
25,3434
26,2079
27,1457
28,1457
29,7006
30,6886
31,6841
32,2732
33,3855
34,1319
35,2079
36,854
37,3956
38,3956
39,4888
40,4344
41,2079
41,4251
42,746
43,5265
44,984
45,984
46,984
47,2079
48,984
49,984
50,746
51,2790
52,2622
53,1187
54,4838
55,5913
56,5277
57,5277
58,5618
59,4549
60,5800
61,2744
62,432
63,1241
64,1241
65,746
66,746
67,746
68,746
69,746
70,746
71,3434
72,3434
73,2561
73,1187
74,6357
75,2561
75,1187
76,3434
77,3434
77,2790
78,3434
79,3434
80,3434
81,3434
82,3434
83,2079
84,2079
85,2079
86,2079
87,1376
88,2079
89,2079
90,2079
91,2343
92,2343
93,2343
94,2881
95,2343
96,2079
97,2079
98,2079
99,2079
100,2079
101,2079
102,1492
103,1492
104,1492
105,2079
106,573
107,4953
108,1681
109,4953
110,4953
111,2079
112,2067
112,249
113,2067
113,249
114,5675
115,2067
116,2079
117,2079
118,2079
119,3434
120,194
121,2079
122,3094
122,2079
123,694
123,2079
124,3260
125,2079
126,2079
127,2079
128,2079
129,2079
130,2079
131,2079
132,3905
133,3905
134,3434
135,3434
136,2278
137,3434
138,34
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,2079
151,2079
152,2790
153,2790
154,1
155,2079
156,2079
157,2079
158,2079
159,2079
160,2079
161,2079
161,6110
162,2079
163,2079
164,2079
165,2079
166,2079
167,1
168,1667
169,2790
170,1667
171,1667
172,1667
173,1
174,1667
175,2079
176,678
177,2079
178,1493
179,2079
179,5590
3,615
180,615
181,615
182,2079
183,2079
184,615
185,5752
185,2079
186,5747
187,5747
188,5752
188,2079
189,2564
190,2564
191,2564
192,2564
193,2564
194,2564
195,2079
196,2038
197,2564
198,2079
199,2079
200,2079
201,2079
202,5876
203,2079
204,1755
205,2079
206,3846
207,2079
208,2079
209,2079
210,2079
211,2079
212,360
213,360
214,3541
215,360
216,2079
217,2079
217,3548
218,2079
219,3548
220,3548
221,2079
222,432
223,2079
224,5625
225,5625
226,5625
226,2079
227,5625
228,5625
229,5625
230,5625
231,3434
232,3434
233,3548
234,3434
235,3548
236,3434
237,3434
238,5328
239,5328
240,5328
241,4344
242,2790
243,4344
244,5328
245,5328
246,2079
247,2079
248,2079
249,2079
250,1
251,616
252,616
253,616
254,616
255,2079
256,1629
257,616
258,4496
259,2079
260,3434
261,5188
262,1280
263,1280
264,6963
264,2079
264,5868
265,3434
266,3434
267,2079
268,2079
269,2079
270,2079
271,5277
272,5277
273,2079
274,2079
275,3361
276,3434
277,3361
278,3361
279,3361
280,2079
281,2079
282,2079
283,2079
284,2079
285,2079
286,4344
287,3434
288,4344
289,4344
290,3273
290,1029
291,1029
292,1029
293,2790
294,1276
295,6357
296,6357
297,2079
298,2079
299,2079
300,6357
301,3905
302,6357
303,3905
304,662
305,662
306,3905
307,3434
308,3434
309,1125
310,1125
311,1125
312,1125
313,1317
314,2079
315,1125
316,2079
317,5216
318,5216
319,4900
320,5216
321,3434
322,3434
323,2079
324,2079
325,2079
326,2079
327,2079
328,2079
329,2079
330,5913
331,5913
332,3434
333,5913
334,5913
335,2079
336,931
337,931
338,931
339,2079
340,2079
341,2079
342,1113
343,1113
344,1113
345,1113
346,1113
347,1113
348,1113
349,1113
350,1113
351,1113
352,1113
353,1113
354,1113
354,2079
355,3434
356,3434
357,3434
358,3434
359,3434
360,5675
361,4615
362,2790
363,2790
364,6819
365,5868
366,3434
367,2598
368,2598
369,2079
370,2598
371,2598
372,2079
373,2079
374,2079
375,2079
376,3492
377,3492
378,3492
379,3492
380,3492
381,3492
382,3492
383,3492
384,2417
385,1306
386,1306
387,1306
388,1306
389,1306
390,1306
391,3434
392,746
393,746
394,2079
395,2079
396,3138
397,2079
398,2079
399,2079
400,3434
401,3434
402,3434
403,3434
404,2079
405,2079
406,3976
407,3434
408,3976
409,3434
410,4778
411,3976
412,3976
413,5987
414,5441
415,5441
416,432
417,5441
418,3238
419,3434
420,3434
421,4606
422,4606
423,432
424,432
425,432
426,3398
408,4606
427,4606
428,4606
429,4606
430,4222
430,6824
431,4222
432,6921
433,1125
434,3541
435,2790
436,746
437,3355
437,4068
438,2622
439,2655
440,6056
441,6481
442,4344
443,432
444,4235
445,4251
446,3541
447,4345
447,843
448,5182
449,4707
450,4373
451,1319
452,3596
453,6841
454,4838
455,2471
456,5728
457,1270
458,4845
459,3238
460,2657
460,662
461,3434
462,3238
463,1270
464,2079
465,2079
466,2079
467,2079
468,2079
469,2079
470,5876
471,5876
472,5876
473,3361
474,2079
475,1
476,2079
477,2079
478,2079
479,2079
480,1
481,1
482,3434
483,3434
484,3434
485,3434
486,3434
487,3434
488,3434
489,3434
490,3434
491,1
492,1
493,1
202,1
494,2790
495,2790
496,2790
497,2790
498,2790
499,2790
500,4498
501,4498
502,4498
503,2079
504,5949
505,5219
506,746
507,2718
508,2079
509,5041
510,2079
511,6365
512,1
400,1
513,1
514,1
515,1
516,1
517,1
518,2079
519,2079
520,2079
521,1681
522,2079
523,1681
524,1376
282,1681
525,3434
526,3434
527,3434
528,3434
529,3434
530,3434
531,3434
532,3220
532,2079
532,5016
533,3220
534,2079
535,2079
536,807
537,2079
538,2079
539,3434
540,3855
541,5618
542,5618
543,5989
544,5989
545,1187
546,1187
547,5618
548,5618
549,5618
550,3855
551,3434
552,3434
553,3434
554,3434
555,4877
556,4877
557,5562
558,3273
559,3273
560,4877
561,4877
562,4877
563,3434
564,878
565,2079
566,2079
567,2079
568,3434
569,3434
570,4845
570,6166
571,4845
571,6166
572,2079
573,2079
574,2079
575,2079
576,1936
577,4838
578,4838
579,2079
580,4838
581,2079
582,113
583,2079
584,2079
585,2079
586,2079
587,2079
588,2079
589,2079
590,5597
591,5913
592,1319
593,2079
594,2079
595,2079
596,2079
597,2079
598,2079
599,2079
600,3434
601,2718
602,3434
603,3434
604,3434
605,3434
606,3434
607,3434
608,5086
608,3434
609,808
318,5086
610,5086
611,5086
612,746
612,4585
613,746
614,746
615,746
616,746
617,547
617,1299
618,3963
619,432
620,3640
621,1743
622,6056
623,6766
624,5301
625,337
626,2079
627,746
628,746
629,1126
630,1126
631,746
632,1129
633,5441
634,4344
635,746
635,931
636,746
636,931
637,746
638,746
638,931
639,5002
640,5002
641,3940
642,3640
643,5301
644,4585
645,4585
646,6491
647,432
648,3238
648,5747
649,3238
649,5747
650,3238
651,3238
652,3238
653,3238
654,3238
655,2079
656,3238
657,3238
658,3238
659,2079
660,1
661,3238
661,5747
662,3238
663,3238
663,2079
664,2790
665,2790
666,2752
667,2752
668,2752
669,3434
670,2079
671,2079
672,5675
673,2079
674,2079
675,2079
676,5113
677,5113
678,2079
679,5113
680,6673
681,3799
682,2079
683,5646
684,2035
685,249
686,3434
687,3434
688,3434
689,2079
690,2079
691,2079
692,3434
693,5903
694,5004
695,2079
696,5004
697,5004
698,5004
699,5004
700,5004
700,5037
701,1
702,1
703,469
704,6287
705,6880
706,3434
707,3434
708,4984
709,4984
710,4984
711,2079
712,4984
713,4984
714,4984
715,1
716,3434
717,3434
718,3434
719,4048
720,5265
720,2079
721,2079
722,2079
723,3758
724,4728
725,6435
726,6170
727,1187
728,6435
729,1
730,3434
731,3434
732,1122
733,5989
734,2079
735,1306
736,2079
737,1
738,1
739,1
740,1
741,3963
742,3355
742,599
743,2079
744,3963
745,3963
746,1609
747,7021
747,6572
748,4796
749,4796
750,4796
751,4796
752,4332
753,4796
754,3434
755,662
755,3434
756,662
757,662
758,3434
759,2299
759,2021
760,3434
761,3434
762,3434
763,3434
764,3434
765,3434
766,3434
767,3434
768,3434
769,3434
769,6819
770,3434
771,3548
772,3548
773,3548
774,3548
775,3548
776,3434
777,3548
778,6061
779,746
780,3434
781,6061
782,3945
783,4316
784,6061
785,1667
786,2079
786,6114
787,2079
788,2079
789,707
790,2079
791,3963
792,3963
793,2079
794,4606
795,1
796,1
797,1
798,1
799,1447
800,3434
801,3636
802,1122
803,3434
804,1
805,2079
806,2079
807,2079
808,2079
809,2079
810,2079
