nid,aid
1,8496
1,17877
2,4333
3,8496
3,17877
4,8496
4,17877
5,8496
5,17877
6,4333
6,219
7,8496
7,17877
8,32071
9,33423
9,783
10,33423
10,783
11,12439
12,8919
13,8919
14,1
15,1
16,31934
17,1
18,1
19,8792
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1743
28,29126
29,1
30,5065
31,1
32,1
33,6389
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
41,34260
42,1
43,1
44,10773
45,10773
46,13279
47,4623
48,11319
49,11319
50,25454
51,12945
52,12945
53,1
54,30738
55,12945
56,12945
57,12945
58,12945
59,1
60,1
61,1
62,1
63,1
64,1
65,25454
66,25454
67,25454
68,25454
69,25454
70,25454
71,12842
72,12842
73,1
73,17142
74,33311
75,1
75,17142
76,12562
76,1
77,12842
77,12820
78,12842
79,12562
79,1
80,21036
81,21036
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,424
92,424
93,426
94,4746
95,424
96,4750
97,9316
98,9316
99,9316
100,9316
101,9316
102,9885
103,9885
104,9885
105,16489
106,26358
107,35237
108,9880
109,35237
110,35237
111,9885
112,4528
112,9955
112,21246
113,4528
113,9955
113,21246
114,1
115,4528
116,1
117,1
118,1
119,23426
120,241
121,25715
122,4500
122,4398
123,13264
124,11238
125,13264
126,4807
127,4807
128,4807
129,4807
130,4807
131,4807
132,5528
133,5528
134,10986
135,4623
136,1
137,4623
138,20577
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,10845
151,10845
152,1
153,1
154,1
155,21246
156,21246
157,21246
158,21246
159,21246
160,21246
161,12497
161,1
162,12497
163,12497
164,10741
165,10741
166,9885
167,1
168,1
169,19236
170,1
171,1
172,1
173,1
174,1
175,9885
176,9880
177,9885
178,9969
179,8496
179,1
3,1
180,1
181,1
182,1
183,1
184,1
185,31174
185,4623
186,1
187,1
188,31174
188,4623
189,8350
190,8350
191,8350
192,8350
193,8350
194,8350
195,4398
196,22373
197,8350
198,8192
198,17877
199,8192
200,17877
201,8192
201,17877
202,36382
202,11905
202,25620
202,36381
203,9754
203,11276
204,26519
205,9754
205,11276
206,9335
207,9754
207,11276
208,4696
209,4696
210,4696
211,4696
212,8919
213,8919
214,8473
215,8919
216,8632
217,11276
217,329
218,11276
219,329
220,329
220,11298
221,1
222,1
223,1
224,8375
225,8375
226,8375
226,9885
227,8375
228,8375
229,8375
230,8375
231,27498
232,27498
233,23441
234,23421
235,23441
236,11238
237,11238
238,16163
239,16163
240,16163
241,1
242,19236
243,13307
244,16163
245,16163
246,1
247,1
248,1
249,1
250,1
251,12497
251,32952
252,12497
252,32952
253,12497
253,32952
254,12497
254,32952
255,11226
256,1
257,12497
257,32952
258,25492
259,11226
260,4372
261,2908
262,16571
263,16571
264,1
264,4398
265,8142
266,8142
267,19383
268,4398
269,4398
270,4398
271,31937
272,31937
273,4398
274,4398
275,13398
276,4623
277,13398
278,13398
279,13398
280,11276
281,11276
282,11276
283,11276
284,1
285,1
286,31934
287,8384
288,31934
289,31934
290,3848
290,2802
291,2802
292,2802
293,4643
294,17392
295,12842
295,11847
295,16308
296,12842
296,16308
297,11905
297,25620
298,25620
298,9120
299,11905
299,25620
300,12842
300,16308
301,26144
301,12842
302,12842
302,16308
303,26144
303,10004
303,27570
304,11847
304,11827
305,11847
305,11827
306,26144
307,13162
308,8384
309,12052
309,11905
309,15005
310,15005
310,12052
311,12052
312,12052
313,8869
314,11687
315,15005
315,11554
316,1
317,1
318,1
319,1
320,1
321,12842
322,12842
323,12399
324,12399
325,4623
326,4696
327,4623
328,4623
329,1
330,4756
331,4756
332,4746
333,2392
334,2392
334,31934
335,17288
336,1
337,1
338,1
339,17288
340,17288
341,8183
341,7568
342,4849
343,4849
344,4849
345,4849
346,4849
347,4849
348,4849
349,4849
350,4849
351,4849
352,31864
353,4849
354,4849
354,7188
354,25620
355,4623
356,4671
357,4671
358,4623
359,12500
360,1
361,1
362,4643
363,4643
364,1
365,1
366,1
367,19804
368,19804
369,487
370,19804
371,19804
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,21030
386,21030
387,21030
388,21030
389,21030
390,21030
391,8917
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,25403
405,25404
406,10239
407,8142
408,10239
409,8142
410,1
411,10239
412,13633
413,4254
414,11319
414,1
415,8473
415,1
416,27569
417,4129
418,11905
418,12456
419,31162
420,31162
421,7023
422,7023
423,31934
424,31934
425,31934
426,21681
408,7023
427,7023
428,7023
429,7023
430,2465
430,18614
431,2465
432,32280
433,1
434,1
435,1
436,1
436,31934
437,1
437,765
438,1
439,6978
440,23775
441,31934
441,1
442,33762
443,31934
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,23080
455,1
456,1
457,12196
458,1
459,1
460,1
460,32022
461,1
462,1
463,12196
464,11929
465,11929
466,12956
467,12956
468,11929
469,11929
470,36382
471,36382
472,36382
473,31389
474,36204
475,1
476,13507
477,13507
478,1
479,13507
480,1
481,1
482,4779
483,4779
484,4779
485,4779
486,4779
487,4779
488,4779
489,4779
490,4779
491,1
492,1
493,1
202,1
494,19219
495,19219
496,19219
497,19219
498,19219
499,19219
500,15005
501,15005
502,15005
503,4623
504,33531
505,30687
506,14932
506,13141
507,32022
508,1
509,12067
510,2751
511,14357
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,11298
522,11276
523,11298
524,31423
282,11298
525,8632
526,8941
527,8632
528,12467
529,12467
530,12467
531,12467
532,8587
532,32009
532,13630
532,25266
533,8587
534,32009
534,13630
535,32009
535,13630
536,5603
537,1
538,5327
539,4696
540,12439
541,32071
542,32071
543,32071
544,32071
545,4696
546,4696
547,32071
548,32071
549,32071
550,12439
551,13307
552,13307
553,32488
553,13307
553,25385
554,32488
554,13307
554,25385
555,16198
556,6038
557,1
558,3848
559,3848
560,16198
561,6038
562,16198
563,25661
564,1
565,11276
566,1
567,1
568,4623
569,4623
569,8078
570,4650
570,1465
570,22752
571,4650
571,1465
571,22752
571,1
572,4807
572,4623
573,4807
574,4807
575,4623
576,7247
577,31934
578,31934
579,1
579,4623
580,31934
581,4623
581,6504
582,1
582,30255
583,12420
584,12420
585,13264
586,12420
587,10871
588,10871
589,10871
590,1
591,1
592,1
593,1
594,1
595,1
596,4807
597,4807
598,4807
599,4436
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,31327
608,22382
609,9857
318,31327
610,31327
611,31911
612,6421
612,21804
613,31934
614,6421
615,6421
616,6421
617,30221
617,1
618,1
619,12800
620,11847
621,11319
621,11412
622,34071
623,11847
624,22451
625,11847
626,11847
627,31934
628,31934
629,25052
630,25052
631,6421
632,11847
633,12271
634,4726
635,6421
635,29606
635,31934
636,6421
636,29606
636,31934
637,31934
638,6421
638,29606
638,31934
639,6889
640,6889
641,1
642,2696
643,8496
644,21804
644,19733
645,21804
645,19733
646,6812
647,12800
648,8895
648,33785
648,21321
648,36645
649,8895
649,33785
649,21321
649,36645
650,8895
650,33785
650,21321
651,8895
651,33785
651,21321
652,8895
652,33785
652,21321
653,8895
653,33785
653,21321
654,8895
654,33785
654,21321
655,6878
656,8895
656,33785
656,21321
657,8895
657,33785
657,21321
658,8895
658,33785
658,21321
659,4623
660,1
661,8895
661,33785
661,21321
661,8917
661,26300
662,8895
662,33785
662,21321
663,8895
663,4623
663,31131
664,4623
665,27542
666,9618
667,36241
668,9618
669,9600
670,4750
670,4623
671,4623
672,32893
673,4750
673,4623
674,4750
674,4623
675,4623
676,21246
677,21246
678,11687
679,21246
680,34107
681,563
682,29338
683,22025
684,35237
685,9885
686,8941
687,8941
688,8941
689,4623
690,4623
691,4623
692,11238
693,11251
694,16733
695,31675
696,16733
697,16733
698,16733
699,16733
700,16733
700,20812
701,1
702,1
703,1353
704,26485
705,12921
706,8142
707,8142
708,1
709,16541
710,6098
711,21246
712,16541
713,16541
714,1
715,1
716,33423
716,12578
717,33423
717,12578
10,11905
10,35944
718,1
719,12497
719,25609
720,12500
720,8299
721,8299
722,8299
723,2797
724,20645
725,8302
725,21373
726,1
726,8294
727,8302
727,15950
728,8302
728,21373
728,12497
729,1
730,1
731,9667
732,18133
733,12679
734,7987
735,10741
736,9955
737,1
738,1
739,1
740,1
741,11298
742,21120
742,24633
743,11276
744,11298
745,11298
746,15884
747,11289
747,33225
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,9982
755,5886
755,4746
756,9982
756,5886
757,9982
758,4746
759,3126
759,4511
760,1
761,1
