nid,aid
1,9580
2,31503
3,61496
4,3115
5,32671
6,27566
7,30542
8,59208
9,21206
10,43770
11,2259
12,55836
13,11951
14,46565
15,17715
16,58625
17,4173
18,16936
19,3115
20,15960
21,34617
22,5212
23,48783
24,35161
25,25713
26,45443
27,18406
28,22472
29,45306
30,6088
31,23557
32,25857
33,29754
34,46811
35,46811
36,25504
37,40249
38,28230
39,33480
40,54490
41,28289
42,47574
43,27567
44,10860
45,36704
46,39209
47,13059
48,23037
49,13568
50,10659
51,11943
52,4361
53,59363
54,10042
55,53427
56,3417
57,40866
58,46328
59,3148
60,54354
61,57836
62,62053
63,27579
64,27631
65,49915
66,15212
67,5971
68,39689
69,6017
70,56506
71,20753
72,12425
73,55732
74,28565
75,7118
76,46459
77,3632
78,27993
79,58640
80,49937
81,24830
82,1464
83,23430
84,11615
85,58149
86,6609
87,41606
88,34214
89,52967
90,39008
91,59003
92,6343
93,16770
94,33622
95,19905
96,54085
97,55141
98,51683
99,59003
100,39483
101,60828
102,7091
103,15829
104,12529
105,41997
106,47574
107,6562
108,11165
109,53463
110,13937
111,43042
112,59868
113,26540
114,10392
115,13888
116,8957
117,34107
118,19069
119,32719
120,43846
121,62174
122,24452
123,3138
124,34770
125,18596
126,35076
127,53263
128,37985
129,30678
130,28650
131,11924
132,53554
133,36241
134,21748
135,58205
136,44964
137,25424
138,2593
139,46443
140,29118
141,41005
142,1466
143,28576
144,29755
145,55854
146,8309
147,43822
148,47574
149,34346
150,59798
151,948
152,33068
153,47484
154,1
155,48783
156,22951
157,290
158,35417
159,32376
160,17944
161,50163
162,40386
163,13620
164,9193
165,60161
166,47574
167,27804
168,24240
169,17679
170,62408
171,43485
172,15749
173,1
174,50313
175,32507
176,49357
177,25756
178,38956
179,28238
3,60624
180,7534
181,11451
182,35161
183,16482
184,24173
185,32139
186,36279
187,7062
188,13661
189,29190
190,54531
191,54531
192,29190
193,54531
194,7534
195,7575
196,29197
197,20118
198,10917
199,41924
200,25214
201,12340
202,33328
203,53711
204,14752
205,27618
206,36622
207,58743
208,2567
209,2224
210,9376
211,62244
212,11547
213,14513
214,48901
215,23961
216,7630
217,35182
218,48796
219,11458
220,35161
221,21553
222,31848
223,47224
224,11720
225,59550
226,36138
227,38437
228,52713
229,30277
230,5636
231,23890
232,23890
233,55102
234,9202
235,26054
236,48633
237,44292
238,48783
239,11393
240,29190
241,17
242,54531
243,32287
244,23890
245,16482
246,24240
247,460
248,4635
249,50262
250,44444
251,58931
252,31314
253,38955
254,58344
255,12355
256,49669
257,44425
258,35073
259,53463
260,51547
261,20348
262,55424
263,18596
264,55446
265,23993
266,43252
267,3115
268,17
269,22910
270,24154
271,11393
272,24112
273,23919
274,23890
275,33252
276,13755
277,13626
278,5945
279,25504
280,33777
281,47141
282,24853
283,12433
284,13953
285,765
286,28583
287,8129
288,12433
289,9463
290,59692
291,23896
292,23904
293,25301
294,39011
295,8332
296,18491
297,25882
298,12473
299,55836
300,15244
301,6709
302,33083
303,10732
304,12420
305,15839
306,45613
307,8464
308,30135
309,5577
310,19197
311,5417
312,41389
313,25403
314,1907
315,53470
316,60161
317,26355
318,33622
319,2677
320,55961
321,58324
322,35609
323,28230
324,49535
325,47165
326,30792
327,29949
328,29480
329,10936
330,2170
331,30094
332,28744
333,45959
334,48263
335,28973
336,37872
337,3927
338,47334
339,37373
340,54428
341,43252
342,39634
343,62730
344,7853
345,60074
346,60902
347,26515
348,60103
349,58823
350,13887
351,61420
352,26910
353,36417
354,58917
355,42233
356,31756
357,2383
358,1107
359,54922
360,51787
361,54913
362,16632
363,17482
364,57811
365,43467
366,54192
367,22903
368,5140
369,45594
370,29323
371,60652
372,41515
373,62365
374,46982
375,29830
182,37373
376,48783
377,24346
378,45719
379,24055
380,45798
381,24134
382,40734
383,22943
384,45602
385,5140
386,40753
387,14356
388,35161
389,20213
390,17
391,54601
392,15211
393,41360
394,37661
395,38074
396,62512
397,58625
398,25504
399,2475
400,4959
401,29495
402,30610
403,7062
404,2677
405,55163
406,35655
407,48950
408,59692
409,35527
410,35182
411,29190
412,43252
413,35182
414,14784
415,25130
416,36045
417,23602
418,47301
419,15900
420,19493
421,48783
422,59692
423,45615
424,316
425,32403
426,32299
427,35527
428,32376
429,48783
430,1
431,1
432,1
433,56146
434,28313
435,47574
436,24830
437,15743
438,2153
439,12339
440,38955
441,28078
442,53760
443,38955
444,15743
445,36456
446,37210
447,44425
448,31654
449,38955
450,34084
451,19115
452,54085
453,47301
454,38955
455,5256
456,44291
457,38955
458,34107
459,37373
460,29227
461,59342
462,56445
463,40939
464,27641
465,45809
466,36383
467,55866
468,17582
469,40353
470,38550
471,37835
472,24840
473,42696
474,37392
475,28649
476,6569
477,27783
478,33606
479,34516
146,8308
480,7333
481,47334
482,24146
483,29532
484,41283
485,55009
486,32726
487,38612
488,38612
489,51331
490,10366
491,17
492,57
493,5191
202,32395
494,5140
495,45594
496,35574
497,40769
498,23919
499,7651
500,30616
501,12012
502,7268
503,46438
504,28574
505,47097
506,3215
507,34107
508,60376
509,19269
510,18747
511,28518
512,10
400,10
513,10
514,10
515,48765
516,428
517,48765
518,49937
519,12410
520,6259
521,30670
522,41380
523,33777
524,41808
525,9525
526,55839
527,12340
528,47689
529,17749
