nid,aid
1,7159
2,7159
3,7159
4,7159
5,7159
6,7159
7,7159
8,2225
9,2225
10,2225
11,2225
12,2225
13,2225
14,9388
15,9388
16,9388
17,9388
18,9388
19,9388
20,9388
21,9388
22,1628
23,1628
24,1628
25,5817
26,3884
27,3884
28,3884
29,3884
30,2730
31,2730
32,2730
33,2730
34,2730
35,2730
36,2730
37,2730
38,2730
39,2730
40,2730
41,1580
42,1580
43,1580
44,7974
45,7974
46,7974
47,7974
48,7974
49,7974
50,4017
51,4017
52,4017
53,4017
54,4017
55,4017
56,4017
57,4017
58,4017
59,4017
60,4017
61,4017
62,4017
63,4017
64,4017
65,4017
66,4017
67,4017
68,4017
69,4017
70,4017
71,6112
72,6112
73,6112
74,6112
75,6112
76,6112
77,6112
78,6112
79,6112
80,3437
81,3437
82,8690
83,3884
84,3884
85,3884
86,3884
87,3884
88,3884
89,3884
90,6969
91,7974
92,7974
93,7974
94,7974
95,7974
96,7974
97,4536
98,4536
99,4536
100,4536
101,4536
102,7938
103,7938
104,7938
105,7938
106,7938
107,5589
108,5589
109,5589
110,5589
111,5589
112,4010
113,4010
114,4010
115,4010
116,8219
117,8219
118,8219
119,7387
120,7387
121,1222
122,5663
123,6510
124,6510
125,6510
126,5124
127,5124
128,5124
129,5124
130,5124
131,5124
132,6298
133,6298
134,6298
135,7690
136,7690
137,7690
138,7690
139,5442
140,5442
141,5442
142,5442
143,5442
144,5442
145,5442
146,5442
147,5442
148,5442
149,5442
150,1041
151,1041
152,1041
153,1041
154,1041
155,5547
156,5547
157,5547
158,5547
159,5547
160,5547
161,7870
162,7870
163,7870
164,4341
165,4341
166,4341
167,3101
168,2730
169,2730
170,2730
171,2730
172,2730
173,2730
174,2730
175,5042
176,5042
177,5042
178,2192
179,2192
3,1628
180,1628
181,1628
182,1628
183,1628
184,1628
185,5387
186,5387
187,5387
188,5387
189,4702
190,4702
191,4702
192,4702
193,4702
194,4702
195,4702
196,4702
197,4702
198,3641
199,3641
200,3641
201,3641
202,5669
203,530
204,530
205,530
206,530
207,530
154,530
208,7815
209,7815
210,7815
211,7815
212,5979
213,5979
214,5979
215,5979
216,5979
217,4942
218,4942
219,4942
220,4942
221,1642
222,1642
223,1642
224,3803
225,3803
226,3803
227,3803
228,3803
229,3803
230,3803
231,4963
232,4963
233,8773
234,8773
235,8773
236,7463
237,7463
238,9146
239,9146
240,9146
241,9146
242,9146
243,9146
244,9146
245,9146
246,3884
247,3884
248,3884
249,3884
250,2219
251,7870
252,7870
253,7870
254,7870
255,7870
256,7870
257,7870
258,7870
259,7870
260,1135
261,1135
154,1135
262,1135
263,1135
264,6310
265,1715
266,1715
267,3884
268,7199
269,7199
270,7199
271,7199
272,7199
273,7199
274,7199
275,5716
276,5716
277,5716
278,5716
279,5716
280,5808
281,5808
282,5808
283,5808
284,1767
285,1767
286,1357
287,1357
288,1357
289,1357
290,5248
291,5248
292,5248
293,2853
294,2853
295,3997
296,3997
297,3997
298,3997
299,3997
300,3997
301,3997
302,3997
303,3997
304,3997
305,3997
306,3997
307,6442
308,6442
309,7189
310,7189
311,7189
312,7189
313,7189
314,7189
315,7189
316,3884
317,3884
318,3884
319,3884
320,3884
321,1511
322,1511
323,4737
324,4737
325,4737
326,4737
327,4737
328,4737
329,8520
330,4262
331,4262
332,4262
333,4262
334,4262
335,1089
336,1089
337,1089
338,1089
339,1089
340,1089
154,1089
341,6343
342,7574
343,7574
344,7574
345,7574
346,7574
347,7574
348,7574
349,7574
350,7574
351,7574
352,7574
353,7574
354,7574
355,1602
356,1602
357,1602
358,1602
359,7875
360,7875
361,7875
362,2731
363,2731
364,8993
365,8993
366,8993
367,5844
368,5844
369,5844
370,5844
371,5844
372,4286
373,4286
374,4286
375,4286
182,4286
376,7871
377,7871
378,7871
379,7871
380,7871
381,7871
382,7871
383,7871
384,7871
385,7871
386,7871
387,7871
388,7871
389,7871
390,7871
391,7871
392,8367
393,8367
394,8367
395,8367
396,8367
397,8367
398,8367
399,8367
400,7027
401,7027
402,7027
403,7027
404,6813
405,6813
406,6976
407,6976
408,6976
409,6976
410,6976
411,6976
412,6976
413,6976
414,3884
415,3884
416,3884
417,3884
418,3884
419,3884
420,3884
421,2828
422,2828
423,2828
424,2828
425,2828
426,2828
408,2828
427,2828
428,2828
429,2828
430,7989
431,7989
432,7989
433,7389
434,7389
435,7389
436,7389
437,7389
438,7389
439,7389
440,7389
441,7389
442,7389
443,7389
444,7389
445,7389
446,7389
447,7389
448,7389
449,7389
450,7389
451,7389
452,7389
453,7389
454,7389
455,7389
456,7389
457,7389
458,7389
459,7389
460,7389
461,7389
462,7389
463,7389
464,9396
465,9396
466,9396
467,9396
468,9396
469,9396
470,5477
471,5477
472,5477
473,5704
474,5704
475,7423
476,7423
477,7423
478,7423
479,7423
146,6142
480,6142
481,6142
482,2693
483,2693
484,2693
485,2693
486,2693
487,2693
488,2693
489,2693
490,2693
491,4666
492,4666
493,4666
202,4666
494,4941
495,4941
496,4941
497,4941
