nid,aid
1,45030
2,32332
3,82989
4,19150
5,76471
6,52378
7,14549
8,27671
9,85530
10,75388
11,17702
12,44513
13,53354
14,36090
15,53091
16,8016
17,44907
18,13212
19,59754
20,53091
21,2980
22,69970
23,62104
24,420
25,7942
26,36961
27,85071
28,86394
29,85194
30,32130
31,44808
32,65515
33,37113
34,36205
35,7714
36,82683
37,87860
38,29744
39,42574
40,83188
41,14165
42,9022
43,45410
44,17508
45,75763
46,43172
47,68975
48,66274
49,8604
50,33477
51,35695
52,59446
53,32295
54,33707
55,60177
56,47624
57,43095
58,23096
59,13810
60,84626
61,48316
62,42938
63,10345
64,60052
65,26792
66,83800
67,5006
68,44137
69,85345
70,85481
71,15598
72,7493
73,58882
74,4636
75,72756
76,69269
77,70903
78,32205
79,33648
80,11529
81,86517
82,60232
83,38120
84,39867
85,29727
86,86376
87,71030
88,30593
89,14762
90,11040
91,86409
92,85194
93,32686
94,82989
95,86254
96,75738
97,45168
98,14128
99,46856
100,86353
101,62921
102,4913
103,33033
104,53522
105,32237
106,17855
107,67882
108,66408
109,74950
110,49017
111,45250
112,83377
113,14128
114,86353
115,58630
116,55775
117,43050
118,12728
119,29112
120,55167
121,20081
122,29068
123,84695
124,44858
125,12967
126,47870
127,39867
128,84396
129,41734
130,15798
131,45124
132,42779
133,11702
134,75591
135,54521
136,8253
137,30210
138,3979
139,32571
140,84838
141,32369
142,30416
143,45362
144,17342
145,27810
146,2008
147,57122
148,86622
149,17531
150,86409
151,62138
152,60494
153,36397
154,1
155,76557
156,77589
157,52994
158,32624
159,85587
160,17313
161,47779
162,35653
163,49373
164,5821
165,86376
166,50527
167,71676
168,10354
169,21971
170,86376
171,20833
172,60373
173,1
174,56534
175,36837
176,59458
177,8626
178,28351
179,60533
180,60030
181,69892
182,10163
183,66424
184,64344
185,66479
186,63436
187,11478
188,39867
189,85148
190,54738
191,85147
192,35947
193,76721
194,49343
195,82870
196,45030
197,26325
198,53906
199,17138
200,74251
201,35002
202,53341
203,68159
204,59213
205,71047
206,12901
207,20220
208,68368
209,84408
210,14128
211,83377
212,33322
213,65354
214,70156
215,71051
216,69357
217,7081
218,71186
219,6614
220,69623
221,44134
222,63506
223,20089
224,82989
225,25589
226,35497
227,39426
228,36878
229,49066
230,39154
231,25864
232,82989
233,84240
234,76828
235,55530
236,10797
237,60267
238,36472
239,81720
240,40507
241,26075
242,60364
243,63985
244,35339
245,20675
246,33800
247,53382
248,72812
249,62064
250,83754
251,85457
252,72771
253,74194
254,25708
255,32641
256,40734
257,83474
258,8697
259,59619
260,86128
261,25660
262,68142
263,52665
264,20436
265,49681
266,10458
267,32000
268,4393
269,25972
270,37728
271,5563
272,51933
273,44774
274,384
275,13764
276,15368
277,42530
278,58934
279,62927
280,45168
281,50848
282,40305
283,31502
284,65394
285,32307
286,10728
287,45028
288,10728
289,86353
290,49193
291,27277
292,33087
293,61080
294,44483
295,5728
296,1796
297,8347
298,9858
299,25645
300,28786
301,45083
302,67006
303,84846
304,27674
305,65487
306,18278
307,57768
308,32205
309,65851
310,69399
311,2958
312,59127
313,61996
314,45121
315,78263
316,62914
317,46552
318,86376
319,85002
320,85002
321,65492
322,24898
323,71652
324,9404
325,63725
326,40465
327,14171
328,70791
329,56561
330,50538
331,73992
332,36211
333,76063
334,10821
335,59054
336,15890
337,87335
338,81913
339,76933
340,7851
341,31990
342,21133
343,46137
344,85194
345,84866
346,75449
347,45168
348,34863
349,45448
350,31851
351,86376
352,45753
353,85338
354,76445
355,14013
356,3892
357,84087
358,16569
359,53294
360,76297
361,4588
362,65930
363,25769
364,48085
365,16049
366,12399
367,40113
368,68899
369,54024
370,51750
371,45168
372,39609
373,46552
374,82989
375,42226
376,57904
377,11478
378,13005
379,23182
380,35002
381,64741
382,69849
383,77589
384,4303
385,394
386,25400
387,50096
388,50096
389,59054
390,67109
391,66274
392,7658
393,37169
394,10810
395,15743
396,59054
397,44684
398,16592
399,7081
400,360
401,84741
402,23501
403,56028
404,11230
405,13189
406,69197
407,75408
408,86353
409,54620
410,19257
411,11930
412,2020
413,14818
414,28984
415,69762
416,54251
417,45877
418,17520
419,312
420,36970
421,67807
422,36961
423,34507
424,71643
425,85408
426,59796
427,78693
428,44964
429,69357
430,14133
431,85031
432,14130
433,18598
434,62129
435,45101
436,63972
437,11087
438,11574
439,12546
440,16285
441,17920
442,20216
443,23025
444,30261
445,35141
446,36211
447,39867
448,42592
449,44874
450,45317
451,50210
452,58651
453,64010
454,68602
455,72352
456,73895
457,74082
458,74208
459,82879
460,84252
461,84497
462,85119
463,50926
464,5354
465,36206
466,3650
467,30256
468,9838
469,85194
470,31414
471,76192
472,45211
473,56869
474,25147
475,31851
476,56033
477,59507
478,17458
479,53623
480,66824
481,69201
482,51933
483,7146
484,61784
485,21361
486,17482
487,70114
488,72634
489,77657
490,55950
491,25351
492,40912
493,75736
494,37509
495,17291
496,66956
497,51102
498,10005
499,53354
500,85592
501,40315
502,25395
503,67687
504,62388
505,25369
506,76445
507,12881
508,23867
509,80007
510,65358
511,80305
512,27668
513,86688
514,12901
515,46668
516,47429
517,360
518,29886
519,64540
520,37673
521,63774
522,64899
523,45168
524,4183
525,36826
526,21685
527,62673
528,71491
529,85445
530,13040
531,77393
532,52830
533,53680
534,50558
535,70941
536,64725
537,23690
538,11063
539,78664
540,13991
541,62150
542,77691
543,86409
544,77781
545,36844
546,58630
547,71394
548,76818
549,45448
550,69664
551,54248
552,17819
553,34719
554,81044
555,23115
556,76783
557,32031
558,21568
559,30440
560,60758
561,51104
562,53571
563,10629
564,45211
565,5767
566,32637
567,36216
568,52195
569,76335
570,32237
571,45346
572,30418
573,25938
574,53382
575,61664
576,49732
577,42738
578,42942
579,82347
580,85012
581,65282
582,6126
583,38085
584,83306
585,84375
586,33988
587,45448
588,54454
589,51281
590,63861
591,365
592,50599
593,21464
594,58629
595,17267
596,82879
597,22620
598,12963
599,6132
600,15368
601,32694
602,16636
603,59115
604,33028
605,64666
606,84696
607,4707
608,45753
609,86415
610,85625
611,26978
612,63699
613,43984
614,44483
615,28429
616,54386
617,53358
618,54764
619,48755
620,29262
621,75235
622,78818
623,50183
624,26177
625,37169
626,3900
627,25812
628,67458
629,33419
630,66161
631,46611
632,32237
633,85959
634,48696
635,31119
636,44483
637,54355
638,47132
639,73782
640,19648
641,19594
642,4521
643,56291
644,2171
645,70452
646,32615
647,66274
648,6161
649,55300
650,61098
651,8642
652,48810
653,82989
654,13658
655,77560
656,86353
657,55582
658,48878
659,85002
660,75751
661,85393
662,1025
663,15899
664,38743
665,68061
666,975
667,3918
668,1196
669,26223
670,34863
671,66465
672,38055
673,85029
674,31259
675,66356
676,10643
677,2711
678,56782
679,52411
680,50362
681,85981
682,7438
683,37405
684,50383
685,57750
686,86410
687,5203
688,6510
689,40433
690,83912
691,32438
692,560
693,85007
694,53532
695,44461
696,27550
697,26488
698,53531
699,42213
700,84155
701,66100
702,68001
703,58451
704,54142
705,44957
706,64675
707,85022
708,37414
709,68939
710,51185
711,46956
712,12901
713,25464
714,10338
715,47210
716,63145
717,59321
718,60434
719,12437
720,31722
721,33257
722,27551
723,59038
724,60381
725,69411
726,74888
727,85546
728,10134
729,52759
730,48853
731,987
732,78989
733,64013
