nid,aid
1,25758
2,4572
3,25758
4,25758
5,25758
6,4572
7,25758
8,28558
9,26208
10,26208
11,18176
12,25046
13,25046
14,28135
15,25758
16,25486
17,15665
18,1
19,26937
20,25486
21,19139
22,25758
23,25758
24,25758
25,26208
26,25758
27,24872
28,24872
29,9952
30,27576
31,28340
32,26157
33,27290
34,18597
35,25758
36,21058
37,15527
38,15527
39,26937
40,771
41,25758
41,16927
42,9753
42,2841
43,25327
44,25363
45,25363
46,25363
47,25758
48,25363
49,25363
50,9768
51,25758
52,27334
53,18256
54,26897
55,28428
56,15438
57,15438
58,27515
59,19856
60,19856
60,15697
61,23784
62,15261
63,4601
64,4601
65,9768
66,9768
67,9768
68,9768
69,9768
70,9768
71,26208
72,26208
73,7256
73,18263
74,27975
75,7256
75,18263
76,26208
76,14519
77,26208
77,15438
78,26208
79,26208
79,14519
80,26208
81,26208
82,26208
83,25758
84,25758
85,25758
86,25758
87,18767
88,25758
89,25758
90,25758
91,9436
92,9436
93,9436
94,6934
95,9436
96,25758
97,25758
98,25758
99,25758
100,25758
101,25758
102,25758
103,25758
104,25758
105,25758
106,260
107,260
108,15902
109,260
110,260
111,25758
112,8606
112,25758
113,8606
113,25758
114,21900
115,8606
116,25758
117,25758
118,25758
119,26208
120,25076
121,25758
122,293
122,25758
123,11506
123,25758
124,26368
125,25758
126,25758
127,25758
128,25758
129,25758
130,25758
131,25758
132,18325
133,18325
134,26208
135,26208
136,22734
137,26208
138,4700
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,25758
151,25758
152,25805
153,25805
154,1
155,25758
156,25758
157,25758
158,25758
159,25758
160,25758
161,25758
161,17218
162,25758
163,25758
164,25758
165,25758
166,25758
167,1
168,6854
169,25758
170,6854
171,6854
172,6854
173,1
174,6854
175,25758
176,28162
177,25758
178,25315
179,25758
179,3844
3,24706
180,24706
181,24706
182,25758
183,25758
184,24706
185,21322
185,25758
186,5510
187,12026
188,21322
188,25758
189,18813
190,18813
191,18813
192,18813
193,18813
194,18813
195,25758
196,24649
197,18813
198,25758
199,25758
200,25758
201,25758
202,25758
203,25758
204,695
205,25758
206,8335
207,25758
208,25758
209,25758
210,25758
211,25758
212,27308
213,27308
214,25322
215,27308
216,25758
217,25758
217,8865
218,25758
219,8865
220,8865
220,26370
221,25758
222,13150
223,25758
224,15400
225,15400
226,15400
226,25758
227,15400
228,15400
229,15400
230,15400
231,26208
232,26208
233,24712
234,26208
235,24712
236,26208
237,26208
238,26465
239,26465
240,26465
241,17882
242,25758
243,4952
244,26465
245,26465
246,25758
247,25758
248,25758
249,25758
250,1
251,14410
252,14410
253,14410
254,14410
255,25758
256,23614
257,14410
258,18458
259,25758
260,26208
261,27013
262,23609
263,23609
264,5994
264,25758
264,983
265,26208
266,26208
267,25758
268,25758
269,25758
270,25758
271,27030
272,27030
273,25758
274,25758
275,17946
276,26208
277,17946
278,17946
279,17946
280,25758
281,25758
282,25758
283,25758
284,25758
285,25758
286,16812
287,26208
288,16812
289,16812
290,25758
290,27382
291,27382
292,27382
293,25758
294,3776
295,25105
296,25105
297,25758
298,25758
299,25758
300,25105
301,26501
302,25105
303,26501
304,25048
305,25048
306,26501
307,26208
308,26208
309,15596
309,20279
310,20279
310,15596
311,15596
312,15596
313,27169
314,25758
315,20279
315,15596
316,25758
317,27311
318,27311
319,19591
320,27311
321,26208
322,26208
323,24384
324,24384
325,25758
326,25758
327,25758
328,25758
329,25758
330,22819
331,22819
332,26208
333,28428
334,28428
335,25758
336,4212
337,4212
338,4212
339,25758
340,25758
341,25758
342,10648
343,10648
344,10648
345,10648
346,10648
347,10648
348,10648
349,10648
350,10648
351,10648
352,4089
353,10648
354,10648
354,25758
355,26208
356,26208
357,26208
358,26208
359,26208
360,21925
361,21774
362,25758
363,25758
364,26591
365,16167
366,26208
367,25758
368,25758
369,25758
370,25758
371,25758
372,25758
373,25758
374,25758
375,25758
376,14368
377,14368
378,14368
379,14368
380,14368
381,14368
382,14368
383,14368
384,22861
385,23759
386,23759
387,23759
388,23759
389,23759
390,23759
391,26208
392,2721
393,2721
394,25758
395,25758
396,27290
397,25758
398,25758
399,25758
400,26208
401,26208
402,26208
403,26208
404,25758
405,25758
406,16159
407,26208
408,16159
409,26208
410,20339
411,16159
412,16159
413,5217
414,25333
414,13025
415,25333
415,13025
416,16660
417,25333
418,25330
419,26208
420,26208
421,25758
422,25758
423,26428
424,26428
425,26428
426,14457
408,25758
427,25758
428,25758
429,25758
430,10129
430,25758
431,10129
432,28997
433,5801
434,25322
435,25758
436,15289
436,9768
437,3230
437,6968
438,10545
439,24095
440,20791
441,27444
441,8889
442,23255
443,13174
444,16907
444,17793
445,27887
446,25322
447,4558
447,2950
448,27111
449,22961
450,22696
451,12527
452,17355
453,3908
453,28339
454,23870
455,505
456,19779
457,4700
458,5799
459,25330
460,740
460,25048
461,26208
462,25330
463,4700
464,25758
465,25758
466,25758
467,25758
468,25758
469,25758
470,25758
471,25758
472,25758
473,26189
474,25758
475,1
476,25758
477,25758
478,25758
479,25758
480,1
481,1
482,26208
483,26208
484,26208
485,26208
486,26208
487,26208
488,26208
489,26208
490,26208
491,1
492,1
493,1
202,1
494,25758
495,25758
496,25758
497,25758
498,25758
499,25758
500,13374
501,13374
502,13374
503,25758
504,22961
505,13374
506,6114
506,9767
507,11506
508,25758
509,10975
510,25758
511,24625
512,1
400,1
513,1
514,1
515,1
516,1
517,1
518,25758
519,25758
520,25758
521,15902
522,25758
523,15902
524,18767
282,15902
525,26208
526,26208
527,26208
528,26208
529,26208
530,26208
531,26208
532,27245
532,25758
532,26970
533,27245
534,25758
535,25758
536,26995
537,25758
538,25758
539,26208
540,22802
541,27515
542,27515
543,25506
544,25506
545,26123
546,26123
547,27515
548,27515
549,27515
550,22802
551,26208
552,26208
553,26208
554,26208
555,27104
556,27104
557,11700
558,25758
559,25758
560,27104
561,27104
562,27104
563,26208
564,18367
565,25758
566,25758
567,25758
568,26208
569,26208
570,25105
570,19500
570,1387
571,25105
571,19500
571,1387
571,19508
572,25758
573,25758
574,25758
575,25758
576,28276
577,26897
578,26897
579,16625
579,25758
580,26897
581,25758
581,16625
582,21212
582,763
583,25758
584,25758
585,25758
586,25758
587,25758
588,25758
589,25758
590,24957
591,28428
592,18585
593,25758
594,25758
595,25758
596,25758
597,25758
598,25758
599,25758
600,26208
601,11519
602,26208
603,26208
604,26208
605,26208
606,26208
607,26208
608,20039
608,26208
609,27523
318,20039
610,20039
611,18513
612,15289
612,26963
613,2721
614,15289
615,15289
616,15289
617,2287
617,27423
618,9969
619,13174
620,8002
621,25059
622,27246
623,28621
624,3327
625,7420
626,25758
627,2721
628,2721
629,15289
630,15289
631,15289
632,27488
633,25333
634,4952
635,15289
635,2888
635,9768
636,15289
636,2888
636,9768
637,2721
638,15289
638,2888
638,9768
639,11197
640,11197
641,7986
642,8002
643,27036
644,26963
645,26963
646,25275
647,13174
648,25330
648,17600
649,25330
649,17600
650,25330
651,25330
652,25330
653,25330
654,25330
655,25758
656,25330
657,25330
658,25330
659,25758
660,1
661,25330
661,288
662,25330
663,25330
663,25758
663,14765
664,25758
665,24373
666,20045
667,17025
668,20045
669,26208
670,25758
671,25758
672,8601
673,25758
674,25758
675,25758
676,25758
677,25758
678,25758
679,25758
680,260
681,24621
682,25758
683,21742
684,260
685,25758
686,26208
687,26208
688,26208
689,25758
690,25758
691,25758
692,26208
693,15701
694,5980
695,25758
696,5980
697,5980
698,5980
699,5980
700,5980
700,5977
701,1
702,1
703,10290
704,27375
705,25577
706,26208
707,26208
708,8638
709,25714
710,25714
711,25758
712,25714
713,25714
714,8638
715,1
716,26208
717,26208
718,26208
719,15480
720,25327
720,25758
721,25758
722,25758
723,704
724,26845
725,19340
726,10698
726,24473
727,25417
728,19340
729,1
730,26208
731,26208
732,26749
733,25506
734,25758
735,23759
736,25758
737,1
738,1
739,1
740,1
741,26532
742,7207
742,25310
743,25758
744,26532
745,26532
746,28230
747,23338
747,19263
748,25758
749,23165
750,23165
751,23165
752,24185
753,23165
754,26208
755,25048
755,26208
756,25048
757,25048
758,26208
759,26770
759,4932
760,26208
761,26208
762,26208
763,26208
764,26208
765,26208
766,26208
767,26208
768,26208
769,26208
769,22366
770,26208
771,26370
772,26370
773,26370
774,26370
775,26370
776,26208
777,26370
778,21062
779,7483
780,26208
781,23393
782,3918
783,28986
784,23393
785,26717
786,25758
786,27060
787,25758
788,25758
789,25758
790,25758
791,26532
792,26532
793,25758
794,25402
795,1
796,1
797,1
798,1
799,4584
800,26208
801,27551
802,26591
803,26208
804,1
805,25758
806,25758
807,25758
808,25758
809,25758
810,25758
811,25758
812,27060
813,25758
814,25758
815,26208
816,21403
817,26208
818,26208
819,25758
820,25305
821,25305
822,25305
823,25305
824,25758
825,26591
826,26208
827,26591
828,26208
829,29007
830,29007
831,29007
832,29007
833,11937
834,11937
835,11937
836,11937
837,11937
838,11937
838,28085
839,11937
840,11937
841,11937
842,11937
842,28085
843,11937
844,11937
845,11937
846,11937
847,11937
848,11937
848,3147
849,11937
850,11937
851,11937
852,11937
853,11937
854,11937
855,11937
856,17148
857,17148
858,17148
859,25091
860,25091
861,25091
862,25091
863,25091
864,25091
865,25091
866,25091
867,25091
868,25091
869,25091
870,25091
871,25091
872,25091
873,25091
874,28238
875,28238
876,28238
877,28238
878,28238
879,28238
880,28238
881,28238
882,28238
883,28238
884,26329
885,26329
886,26329
887,26329
888,26329
889,26329
890,26329
891,26329
892,26329
893,26329
894,26329
232,26329
895,25871
896,25871
897,25871
898,25871
899,25871
900,25871
901,25871
902,25871
903,25871
904,25871
905,25871
906,25871
907,25871
908,25871
909,25871
910,25871
911,25871
912,3969
913,3969
914,3969
915,3969
916,3969
917,3969
918,3969
919,3969
920,3969
921,3969
922,3969
923,3969
924,3969
925,3969
926,3969
927,3969
928,26567
929,26567
930,26567
931,26567
932,5376
933,5376
934,5376
935,5376
936,25601
937,25601
938,25601
938,25604
939,25601
940,25601
941,25601
942,25601
943,25601
944,25601
945,25601
946,25601
947,25601
948,25601
949,25601
950,25601
950,25604
951,25660
952,25621
953,25621
954,25660
955,25621
956,25621
957,25660
958,25621
959,2978
959,3147
960,2978
960,3147
961,2978
962,2978
963,2978
964,2978
965,2978
966,2978
967,27158
968,27158
969,27158
970,27158
971,11920
972,11920
973,11920
974,11920
975,11920
976,11920
977,11920
978,11920
232,11920
979,11920
980,11920
981,11920
982,11920
983,19308
984,19308
985,19308
986,19308
987,19308
988,19308
989,19308
990,19308
991,26364
992,26364
993,26364
994,26364
995,26364
996,23624
997,23624
997,7206
998,23624
999,23624
1000,27203
1001,27203
1002,20823
1003,20823
1004,20823
1005,20823
1006,20823
1007,20823
1008,25533
1009,25533
1010,25533
1011,25533
1012,4218
1013,7279
1013,23180
1014,7279
1014,3567
1015,7279
1015,7945
1016,7279
1016,7945
1017,7279
1017,2879
1018,16671
1019,16671
1020,16671
1021,16671
1022,16671
1023,25939
1024,25939
1025,9936
1026,9936
1027,9936
1028,9936
1029,9936
1030,9936
1031,9936
1032,9936
1033,9936
1034,9936
1035,9936
1036,9936
1037,14328
1038,14328
1039,3109
1040,3109
1041,3109
1042,3109
1043,3109
1044,3109
1045,3109
1046,3109
1047,3109
1048,3109
1049,3109
1050,3109
1051,3109
1052,3109
1053,3109
1054,3109
1055,3109
1056,3109
1057,3109
1058,7206
1059,7206
1060,7206
1061,7206
1061,17145
1062,7206
1063,7206
1064,7206
1065,7206
1066,7206
1067,7206
1068,7206
1069,7206
1070,7206
1071,7206
1072,7206
1073,7206
1074,7206
1075,7206
1076,7206
1077,7206
1078,7206
1079,7206
1080,7206
1081,25922
1081,25921
1082,25922
1083,25922
1084,25922
1085,25922
1086,25922
1087,25922
1087,25921
1088,25922
1088,25921
1089,25922
1089,25921
1090,25922
1091,25922
1092,25922
1093,25922
1094,25922
1095,25922
1096,26383
1097,26383
1098,26383
1099,26383
1100,26383
1101,26383
1102,26383
1103,26383
1104,26383
1105,26383
1106,26383
1107,26383
1108,26383
1109,26383
1110,26383
1111,26383
1112,26383
1113,26383
1114,26383
1115,26383
1116,26383
1117,26383
1118,26383
1119,23590
1119,13211
1120,20484
1121,20484
1122,20484
1123,20484
1124,20484
1125,20484
1126,20484
1127,20484
1128,20484
1129,20484
1130,20484
1131,20484
1132,20484
1133,20484
1134,20484
1135,20484
1136,20484
1137,20484
1138,20484
1139,20484
1140,20484
1141,20484
1142,20484
1143,20484
1144,20484
1145,20484
1146,20484
1147,20484
1148,20484
1149,20484
1150,20484
1151,20484
1152,20484
1153,20484
1154,20484
1155,20484
1156,20484
1157,20484
1158,20484
1159,20484
1160,20484
1161,20484
1162,20484
1163,20484
1164,20484
1165,20484
1166,20484
1167,20484
1168,20484
1169,20484
1170,20484
1171,20484
1172,20484
1173,5995
1174,5995
1175,5995
1176,5995
1177,5995
1178,5995
1179,5995
1180,5995
1181,5995
1182,5995
1183,5995
1184,5995
1185,5995
1186,5995
1187,5995
1188,5995
1189,5995
1190,5995
1191,5995
1192,5995
1193,5995
1194,5995
1195,5995
1196,5995
1197,5995
1198,5995
1199,5995
1200,5995
1201,5995
1202,5995
1203,5995
1204,5995
1205,5995
1206,5995
1207,5995
1208,5995
1209,5995
1210,5995
1211,5995
1212,5995
1213,5995
1214,5995
1215,5995
1216,5995
1217,5995
1218,5995
1219,5995
1220,5995
1221,5995
1222,5995
1223,5995
1224,5995
1225,5995
1226,5995
1227,5995
1228,5995
1229,5995
1230,5995
1231,5995
1232,5995
1233,25911
1234,25911
1235,25911
1236,25911
1237,25911
1238,25911
1239,25911
1240,25911
1241,25911
1242,25911
1243,25911
1244,25911
1245,25911
1246,25911
1247,25911
1248,25911
1249,25911
1250,25911
1251,25911
1252,25911
1253,25911
1253,26189
1254,25911
1255,25911
1256,25911
1257,25911
1258,25911
1259,26198
1260,26198
1261,26198
1262,26198
1263,26198
1264,26198
1265,26198
1266,26198
1267,26198
1268,26198
1268,3147
1269,26198
1270,26198
1270,3147
1271,26198
1271,3147
1272,26198
1273,26198
1274,26198
1275,26198
1276,26198
1276,16325
1277,26198
1278,26198
1278,3147
1279,26198
1280,26198
1281,26198
1282,26198
1283,26198
1284,26198
1285,26198
1286,26198
1287,26198
1288,26198
1289,26198
1290,26198
1291,26198
1292,26198
1293,26198
1294,26198
1295,26198
1296,26198
1297,26198
1298,26198
1299,12139
1300,12139
1301,12139
1302,12139
1303,12139
1304,12139
1305,12139
1306,12139
1307,12139
1308,25122
1309,25122
1310,25122
1311,25122
1312,26156
1313,26156
1314,26156
1315,26156
1316,26156
1317,26156
1318,26156
1319,26156
1320,13301
1321,13301
1322,13301
1323,13301
1323,12150
1324,13301
1325,13301
1326,13301
1327,13301
1327,7497
1328,13301
1329,12150
1330,12150
1331,12150
1332,12150
1333,12150
1334,25542
1335,25542
1336,25542
1337,19137
1338,19137
1339,19137
1340,19137
1341,19137
1342,19137
1343,19137
1344,19137
1345,19137
1346,19137
1347,19137
1348,25544
1349,25544
1350,25544
1351,25544
1352,25544
1353,25544
1354,25544
1355,25544
1356,25544
1357,21137
1358,21137
1359,21137
1360,21137
1361,21137
1362,21137
1363,21137
1364,21137
1365,21137
1366,21137
1367,21137
1368,21137
1369,2388
1370,2388
1371,2388
1372,2388
1373,2388
1373,3147
1374,2388
1375,2388
1376,2388
1377,23571
1378,23571
1379,23571
1380,23571
1380,23573
1381,23571
1382,23571
1382,28196
1383,23571
1384,23571
1385,23571
1386,23571
1387,23571
1388,23571
1357,23573
1389,23573
1390,12269
1390,21981
1391,12269
1392,12269
1392,12665
1393,12269
1393,21981
1394,12269
1395,12269
1396,12269
1397,12269
1397,12680
1398,12269
1399,12718
1400,12718
1400,25206
1401,12718
1401,25206
1401,3147
1402,12718
1402,25206
1403,12718
1404,12718
1404,19644
1405,12718
1405,19644
1405,3147
1406,12718
1406,25206
1407,12718
1408,12718
1408,19644
1409,12718
1409,19644
1410,12718
1411,12718
1412,12718
1412,25206
1413,12718
1414,12718
1414,25206
1415,12718
1415,25206
1416,12718
1417,12718
1417,25206
1418,12718
1418,25206
1419,12718
1420,12718
1421,12718
1421,25249
1422,12718
1422,25249
1423,12718
1423,25249
1424,12718
1424,25249
1425,12718
1425,25249
1426,12718
1427,12718
1427,25249
1428,12718
1429,12718
1430,12718
1430,25249
1431,12718
1431,25249
1432,12718
1432,25249
1433,12718
1434,12718
1435,12718
1435,25249
1435,3147
1436,12718
1436,25249
1437,12718
1438,12718
1439,12718
1439,25249
1440,12718
1440,25249
1441,12718
1441,25249
1442,12718
1442,25249
1443,12718
1443,25372
1444,12718
1444,25372
1445,12718
1445,25372
1446,12718
1446,25372
1447,12718
1448,12718
1449,12718
1449,25757
1450,12718
1450,25757
1451,12718
1452,12718
1453,12718
1453,25757
1454,12718
1455,12718
1456,12718
1457,12718
1458,12718
1458,25863
1459,12718
1459,3147
1460,12718
1460,26528
1461,12718
1462,12718
1463,12718
1464,12718
1464,26528
