aid,attribute
1,""
2,*
3,A Coruna
4,AA
5,AB
6,AC
7,ACT
8,AE
9,AK
10,AL
11,AM
12,AP
13,AR
14,AS
15,AZ
16,Abaco
17,Aberdeen
18,Abruzzo
19,Abu Dhabi
20,Accra
21,Acores
22,Acre
23,Ad Daqahliyah
24,Agadir
25,Ags
26,Ahvaz
27,Aichi
28,Al Ahsa
29,Alagoas
30,Alger
31,Alicante
32,Almeria
33,Alor Gajah
34,Alta Verapaz
35,Alzette
36,Amapa
37,Amazonas
38,Amur Region
39,An Giang
40,Anco n
41,Ancon
42,Ancon Aa
43,Ancona
44,Andalucia
45,Andaman & Nicob
46,Andhra Prades
47,Andhra Pradesh
48,Angra Do Herois
49,Anguilla
50,Anhui
51,Anhui Province
52,Antarctic Provi
53,Antioquia
54,Antrim
55,Anzoategui
56,Aomori
57,Apurimac
58,Aquitaine
59,Aragon
60,Aragua State
61,Ardabil Provinc
62,Argyll
63,Assam
64,Asturias
65,Atlantico
66,Attiki
67,Attikis
68,Avon
69,Ayutthaya
70,Azad Kashmir
71,Azores
72,BA
73,BC
74,BCS
75,BE
76,BI
77,BO
78,BR
79,BS
80,Bad Berska
81,Baden Wurttembe
82,Baden Wuttermbe
83,Bahia
84,Baja Calif Sur
85,Baja California
86,Balearic Island
87,Bali
88,Barat
89,Barcelona
90,Barquisimeto
91,Bashkortostan
92,Basque Country
93,Bavaria
94,Bcs
95,Beauvoir Sur Ni
96,Beds
97,Beibei
98,Beijing Shi
99,Belarus
100,Belgaum
101,Bengaluru
102,Beni
103,Berks
104,Bihar
105,Billancourt
106,Birgunj
107,Biscay
108,Bizhaia
109,Bizkaia
110,Bolivar
111,British Virgin
112,British West In
113,Bucks
114,Buenos Aires
115,Bulawayo
116,Bursa
117,Burwood
118,Buskerud
119,CA
120,CB
121,CE
122,CH
123,CN
124,CO
125,CS
126,CT
127,Cadiz
128,Cagliari
129,Cairo Governora
130,Caldas
131,Caldes De Montb
132,Cambridgeshire
133,Cambs
134,Campeche
135,Canary Islands
136,Canelones
137,Cantabria
138,Caparica
139,Capoterra
140,Carrickfergus
141,Cartago
142,Casilla
143,Castle Douglas
144,Catalao
145,Catalonia
146,Catalunya
147,Cayman Islands
148,Cb
149,Cdmx
150,Cdp
151,Ceara
152,Cebu
153,Centrafrique
154,Central Distric
155,Central Kaliman
156,Central Region
157,Cerdanyola Del
158,Ceredigion
159,Chang Wat Songk
160,Channel Isl
161,Cheongwon Gun
162,Cheshire
163,Chhattisgarh
164,Chiapas
165,Chiba
166,Chih
167,Chilly Mazarin
168,Chinchina
169,Chonbuk
170,Chonburi
171,Choongchungnam
172,Christ Church
173,Chubut
174,Chung Buk
175,Chungbuk
176,Chungceongnam D
177,Chungcheongbuk
178,Chungcheongnam
179,Chungnam
180,Ciego De Avila
181,Cienfuegos
182,Ciudad La Haban
183,Clack
184,Cleveland
185,Cluj
186,Co Kildare
187,Coahuila
188,Cochabamba
189,Col
190,Colombies
191,Como
192,Copenhagen
193,Coquimbo
194,Cordemex
195,Cordoba
196,Cork
197,Cornwall
198,Corrientes
199,Cotonou
200,Crete
201,Crimea
202,Csongrad
203,Culiacan
204,Culiacan Sinalo
205,Cumana
206,Cumbria
207,Cundinamarca
208,Cuzco
209,DC
210,DE
211,DF
212,DN
213,DR
214,Daejeon
215,Ddi
216,Dea Jeon
217,Derby
218,Derbyshire
219,Devon
220,Dianalund
221,Dinajpur
222,Distrito Federa
223,Diyala
224,Dki Jakarta
225,Doha
226,Dorset
227,Dozule
228,Dubai
229,Durham
