aid,attribute
1,10TH INTERNATIONAL CONFERENCE OF EDUCATION
2,12TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES
3,12TH INTERNATIONAL CONFERENCE ON TOPICS IN ASTROPARTICLE AND UNDERGROUND PHYSICS (TAUP 2011)
4,12TH INTERNATIONAL SYMPOSIUM ON PROCESS SYSTEMS ENGINEERING AND 25TH EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING
5,13TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION 2012 (INTERSPEECH 2012)
6,13TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES
7,13TH INTERNATIONAL CONFERENCE ON TOPICS IN ASTROPARTICLE AND UNDERGROUND PHYSICS
8,14TH GLOBAL CONFERENCE ON SUSTAINABLE MANUFACTURING
9,2012 11TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS (ICMLA 2012)
10,2012 12TH INTERNATIONAL CONFERENCE ON CONTROL
11,2012 2ND INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE (ICASS 2012)
12,2012 37TH INTERNATIONAL CONFERENCE ON INFRARED
13,2012 50TH ANNUAL ALLERTON CONFERENCE ON COMMUNICATION
14,2012 IEEE 38TH PHOTOVOLTAIC SPECIALISTS CONFERENCE (PVSC)
15,2012 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS
16,2013 10TH IEEE INTERNATIONAL CONFERENCE ON NETWORKING
17,2013 11TH INTERNATIONAL SYMPOSIUM ON MODELING & OPTIMIZATION IN MOBILE
18,2013 12TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS (ICMLA 2013)
19,2013 13TH INTERNATIONAL CONFERENCE ON CONTROL
20,2013 14TH INTERNATIONAL RADAR SYMPOSIUM (IRS)
21,2013 2ND INTERNATIONAL SYMPOSIUM ON INSTRUMENTATION AND MEASUREMENT
22,2013 38TH INTERNATIONAL CONFERENCE ON INFRARED
23,2013 3RD INTERNATIONAL CONFERENCE ON ADVANCEMENTS IN NUCLEAR INSTRUMENTATION
24,2013 51ST ANNUAL ALLERTON CONFERENCE ON COMMUNICATION
25,2013 5TH INTERNATIONAL CONFERENCE ON MODELING
26,2013 ASILOMAR CONFERENCE ON SIGNALS
27,2013 IEEE 1ST INTERNATIONAL CONFERENCE ON CYBER-PHYSICAL SYSTEMS
28,2013 IEEE 21ST INTERNATIONAL SYMPOSIUM ON MODELING
29,2013 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS
30,2014 14TH IEEE/ACM INTERNATIONAL SYMPOSIUM ON CLUSTER
31,2014 14TH INTERNATIONAL CONFERENCE ON CONTROL
32,2014 2ND INTERNATIONAL CONFERENCE ON 3D VISION
33,2014 52ND ANNUAL ALLERTON CONFERENCE ON COMMUNICATION
34,2014 IEEE 16TH INTERNATIONAL CONFERENCE ON E-HEALTH NETWORKING
35,2014 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS
36,2014 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS
37,2014 IEEE SEVENTH INTERNATIONAL CONFERENCE ON SOFTWARE TESTING
38,2014 IEEE/WIC/ACM INTERNATIONAL JOINT CONFERENCES ON WEB INTELLIGENCE (WI) AND INTELLIGENT AGENT TECHNOLOGIES (IAT)
39,2014 INTERNATIONAL CONFERENCE ON COLLABORATIVE COMPUTING: NETWORKING
40,2014 INTERNATIONAL CONFERENCE ON SECURITY
41,2014 Pan African Conference on Science
42,2014 SYMPOSIUM ON DESIGN
43,2015 15TH INTERNATIONAL CONFERENCE ON CONTROL
44,2015 1ST INTERNATIONAL CONFERENCE ON GEOGRAPHICAL INFORMATION SYSTEMS THEORY
45,2015 3RD IEEE INTERNATIONAL CONFERENCE ON MOBILE CLOUD COMPUTING
46,2015 DESIGN
47,2015 IEEE 16TH INTERNATIONAL SYMPOSIUM ON A WORLD OF WIRELESS
48,2015 IEEE 7TH INTERNATIONAL CONFERENCE ON BIOMETRICS THEORY
49,2015 IEEE 8th International Conference on Software Testing
50,2015 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS
51,2015 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS
