aid,attribute
1,WOS:000208821700005
2,WOS:000208822600003
3,WOS:000208826501015
4,WOS:000208826501172
5,WOS:000208826502485
6,WOS:000208837800005
7,WOS:000208837900015
8,WOS:000208837900085
9,WOS:000208837900115
10,WOS:000208837900182
11,WOS:000208837900187
12,WOS:000208837900221
13,WOS:000208837900228
14,WOS:000208839700058
15,WOS:000208839700090
16,WOS:000208839700178
17,WOS:000208839701020
18,WOS:000208839701045
19,WOS:000208839701098
20,WOS:000208839701161
21,WOS:000208839702005
22,WOS:000208839702021
23,WOS:000208839702022
24,WOS:000208839702104
25,WOS:000208839702149
26,WOS:000208839702164
27,WOS:000208839702231
28,WOS:000208839702460
29,WOS:000208839702577
30,WOS:000208839703169
31,WOS:000208843600022
32,WOS:000208851400006
33,WOS:000208854600009
34,WOS:000208854900008
35,WOS:000208855500006
36,WOS:000208862800001
37,WOS:000208863600232
38,WOS:000208863600260
39,WOS:000208863900044
40,WOS:000208863900234
41,WOS:000208863900288
42,WOS:000208864000202
43,WOS:000208864000211
44,WOS:000208866900003
45,WOS:000208868500101
46,WOS:000208871300003
47,WOS:000208875800003
48,WOS:000208876400003
49,WOS:000208885000093
50,WOS:000208885000163
51,WOS:000208885000234
52,WOS:000208885000275
53,WOS:000208885000305
54,WOS:000208885001008
55,WOS:000208885001019
56,WOS:000208885001068
57,WOS:000208885001176
58,WOS:000208885001182
59,WOS:000208885001257
60,WOS:000208885001275
61,WOS:000208885002064
62,WOS:000208885002109
63,WOS:000208885002160
64,WOS:000208885002166
65,WOS:000208885002333
66,WOS:000208885003066
67,WOS:000208885003282
68,WOS:000208885003292
69,WOS:000208885004143
70,WOS:000208885004203
71,WOS:000208885004240
72,WOS:000208885004259
73,WOS:000208885004305
74,WOS:000208885005275
75,WOS:000208885005278
76,WOS:000208885005412
77,WOS:000208885006048
78,WOS:000208885006119
79,WOS:000208885006232
80,WOS:000208885006256
81,WOS:000208885006367
82,WOS:000208885007041
83,WOS:000208885007143
84,WOS:000208885007214
85,WOS:000208885007221
86,WOS:000208885008183
87,WOS:000208885008200
88,WOS:000208885008296
89,WOS:000208885008297
90,WOS:000208885008325
91,WOS:000208885008350
92,WOS:000208885009020
93,WOS:000208885009050
94,WOS:000208885009090
95,WOS:000208885009129
96,WOS:000208885009166
97,WOS:000208885009168
98,WOS:000208892400051
99,WOS:000208892400120
100,WOS:000208892400153
101,WOS:000208892400372
102,WOS:000208892500028
103,WOS:000208892500160
104,WOS:000208910600002
105,WOS:000208910700005
106,WOS:000208910900006
107,WOS:000208911700009
108,WOS:000208911700011
109,WOS:000208936300014
110,WOS:000208936400003
111,WOS:000208939200008
112,WOS:000208941400009
113,WOS:000208943300005
114,WOS:000208943700012
115,WOS:000208943900297
116,WOS:000208947000009
117,WOS:000208947300009
118,WOS:000208947300010
119,WOS:000208953100027
120,WOS:000208953200044
121,WOS:000208953200047
122,WOS:000208953200049
123,WOS:000208953300035
124,WOS:000208953400018
125,WOS:000208953800012
126,WOS:000208953800018
127,WOS:000208953900029
128,WOS:000208954300011
129,WOS:000208954300015
130,WOS:000208954300025
131,WOS:000208981100013
132,WOS:000208981600029
133,WOS:000208986100006
134,WOS:000208986400006
135,WOS:000208989200002
136,WOS:000209002100003
137,WOS:000209012900002
138,WOS:000209020000009
139,WOS:000209023400021
140,WOS:000209026800012
141,WOS:000209027200013
142,WOS:000209027700007
143,WOS:000209028200007
144,WOS:000209028300011
145,WOS:000209028300014
146,WOS:000209031900014
147,WOS:000209043600005
148,WOS:000209043700002
149,WOS:000209043700006
150,WOS:000209043700010
151,WOS:000209050100002
152,WOS:000209054900003
153,WOS:000209057600010
154,WOS:000209063500002
155,WOS:000209064200011
156,WOS:000209076000005
157,WOS:000209076000007
158,WOS:000209077400005
159,WOS:000209081900005
160,WOS:000209089900005
161,WOS:000209098000009
162,WOS:000209107000006
163,WOS:000209108100004
164,WOS:000209122500008
165,WOS:000209125500005
166,WOS:000209142900356
167,WOS:000209142900388
168,WOS:000209142900407
169,WOS:000209142901010
170,WOS:000209142901042
171,WOS:000209142901043
172,WOS:000209142901048
173,WOS:000209142901100
174,WOS:000209142901129
175,WOS:000209142901146
176,WOS:000209142901147
177,WOS:000209142901168
178,WOS:000209142901339
179,WOS:000209142901404
180,WOS:000209142902091
181,WOS:000209142902173
182,WOS:000209142902253
183,WOS:000209142902623
184,WOS:000209148000020
185,WOS:000209148300004
186,WOS:000209148400010
187,WOS:000209148500001
188,WOS:000209148600006
189,WOS:000209149000003
190,WOS:000209161400031
191,WOS:000209165300010
192,WOS:000209165300189
193,WOS:000209165300190
194,WOS:000209173000047
195,WOS:000209173000187
196,WOS:000209173000197
197,WOS:000209173000198
198,WOS:000209173000219
199,WOS:000209173000238
200,WOS:000209173000252
201,WOS:000209173000258
202,WOS:000209173000323
203,WOS:000209177700133
204,WOS:000209177700149
205,WOS:000209179100002
206,WOS:000209185600005
207,WOS:000209186900002
208,WOS:000209194000102
209,WOS:000209202600032
210,WOS:000209202800023
211,WOS:000209202800030
212,WOS:000209204200001
213,WOS:000209205500002
214,WOS:000209215500037
215,WOS:000209218300001
216,WOS:000209222700016
217,WOS:000209222800036
218,WOS:000209222900027
219,WOS:000209222900029
220,WOS:000209222900049
221,WOS:000209223000021
222,WOS:000209223000049
223,WOS:000209223000052
224,WOS:000209223900015
225,WOS:000209224000014
226,WOS:000209224100007
227,WOS:000209224500011
228,WOS:000209226000004
229,WOS:000209226500013
230,WOS:000209226500014
231,WOS:000209226500040
232,WOS:000209226900034
233,WOS:000209227100019
234,WOS:000209227700039
235,WOS:000209227800029
236,WOS:000209228100040
237,WOS:000209228100049
238,WOS:000209228100058
239,WOS:000209228800004
240,WOS:000209228800055
241,WOS:000209228900001
242,WOS:000209228900010
243,WOS:000209228900015
244,WOS:000209229800001
245,WOS:000209231100004
246,WOS:000209231100005
247,WOS:000209232500003
248,WOS:000209232800003
249,WOS:000209233300001
250,WOS:000209238000002
251,WOS:000209238400009
252,WOS:000209242400009
253,WOS:000209242800002
254,WOS:000209251900011
255,WOS:000209268800013
256,WOS:000209269500010
257,WOS:000209269600014
258,WOS:000209272100005
259,WOS:000209272100011
260,WOS:000209273900008
261,WOS:000209275900010
262,WOS:000209276500017
263,WOS:000209279700002
264,WOS:000209279700033
265,WOS:000209286800055
266,WOS:000209287000013
267,WOS:000209294000016
268,WOS:000209294100003
269,WOS:000209294300006
270,WOS:000209312900013
271,WOS:000209317900013
272,WOS:000209331600005
273,WOS:000209333000031
274,WOS:000209333300011
275,WOS:000209334800017
276,WOS:000209336000006
277,WOS:000209336000023
278,WOS:000209348601250
279,WOS:000209348602310
280,WOS:000209348603068
281,WOS:000209348605030
282,WOS:000209348605135
283,WOS:000209348605136
284,WOS:000209348606182
285,WOS:000209348607231
286,WOS:000209348607244
287,WOS:000209348607289
288,WOS:000209348607339
289,WOS:000209348700110
290,WOS:000209348700353
291,WOS:000209348702275
292,WOS:000209348704346
293,WOS:000209348705195
294,WOS:000209348705200
295,WOS:000209348705417
296,WOS:000209354800006
297,WOS:000209358800048
298,WOS:000209358800049
299,WOS:000209358800074
300,WOS:000209358800079
301,WOS:000209358800237
302,WOS:000209358800239
303,WOS:000209358800259
304,WOS:000209358900033
305,WOS:000209358900095
306,WOS:000209358900137
307,WOS:000209358900144
308,WOS:000209358900186
309,WOS:000209358900189
310,WOS:000209358900323
311,WOS:000209359000091
312,WOS:000209359000124
313,WOS:000209359000133
314,WOS:000209359000192
315,WOS:000209359000369
316,WOS:000209359000379
317,WOS:000209364900010
318,WOS:000209366200006
319,WOS:000209366600002
320,WOS:000209366600004
321,WOS:000209370400091
322,WOS:000209370401412
323,WOS:000209370403446
324,WOS:000209370404763
325,WOS:000209370800005
326,WOS:000209374100025
327,WOS:000209374100131
328,WOS:000209374100140
329,WOS:000209374100152
330,WOS:000209374100198
331,WOS:000209374100364
332,WOS:000209374100457
333,WOS:000209377400003
334,WOS:000209378900003
335,WOS:000209379200004
336,WOS:000209379400003
337,WOS:000209381000003
338,WOS:000209381600006
339,WOS:000209389900002
340,WOS:000209390300006
341,WOS:000209399500001
342,WOS:000209399500005
343,WOS:000209399500006
344,WOS:000209399500007
345,WOS:000209399500008
346,WOS:000209401700007
347,WOS:000209401800015
348,WOS:000209402400010
349,WOS:000209402800006
350,WOS:000209404400005
351,WOS:000209408500005
352,WOS:000209412300005
353,WOS:000209415500015
354,WOS:000209422900007
355,WOS:000209422900021
356,WOS:000209424300007
357,WOS:000209426500015
358,WOS:000209431100001
359,WOS:000209443100003
360,WOS:000209447300016
361,WOS:000209455800005
362,WOS:000209455900005
363,WOS:000209455900015
364,WOS:000209458900002
365,WOS:000209463100012
366,WOS:000209469300010
367,WOS:000209469400011
368,WOS:000209472000007
369,WOS:000209474100033
370,WOS:000209475700002
371,WOS:000209475700036
372,WOS:000209475700037
373,WOS:000209475700066
374,WOS:000209475700095
375,WOS:000209475700285
376,WOS:000209475700314
377,WOS:000209475700322
378,WOS:000209477100159
379,WOS:000209477100379
380,WOS:000209477100474
381,WOS:000209477100515
382,WOS:000209477100534
383,WOS:000209477100688
384,WOS:000209477100814
385,WOS:000209477100881
386,WOS:000209477100890
387,WOS:000209477200392
388,WOS:000209477500031
389,WOS:000209477500046
390,WOS:000209477500071
391,WOS:000209480800058
392,WOS:000209480800060
393,WOS:000209480800125
394,WOS:000209480800130
395,WOS:000209480800357
396,WOS:000209480800500
397,WOS:000209487600035
398,WOS:000209492400004
399,WOS:000209496400004
400,WOS:000209496400028
401,WOS:000209496400191
402,WOS:000209496400209
403,WOS:000209496500007
404,WOS:000209496500027
405,WOS:000209496500051
406,WOS:000209496500110
407,WOS:000209496600006
408,WOS:000209496800024
409,WOS:000209496800219
410,WOS:000209496800308
411,WOS:000209496800416
412,WOS:000209496800572
413,WOS:000209496900218
414,WOS:000209496900227
415,WOS:000209496901157
416,WOS:000209496902253
417,WOS:000209496903059
418,WOS:000209496903073
419,WOS:000209497400405
420,WOS:000209501300367
421,WOS:000209506600365
422,WOS:000209510500003
423,WOS:000209512000006
424,WOS:000209514500003
425,WOS:000209514600004
426,WOS:000209514700007
427,WOS:000209515200001
428,WOS:000209523300006
429,WOS:000209523300008
430,WOS:000209523600001
431,WOS:000209528900002
432,WOS:000209528900061
433,WOS:000209535900004
434,WOS:000209535900005
435,WOS:000209536600002
436,WOS:000209547400091
437,WOS:000209547600059
438,WOS:000209547600061
439,WOS:000209547600062
440,WOS:000209547600075
441,WOS:000209547600097
442,WOS:000209547600149
443,WOS:000209547600175
444,WOS:000209547600177
445,WOS:000209548400069
446,WOS:000209548400127
447,WOS:000209548400404
448,WOS:000209548400474
449,WOS:000209553800017
450,WOS:000209559600026
451,WOS:000209562400035
452,WOS:000209565700023
453,WOS:000209565700031
454,WOS:000209567600003
455,WOS:000209567600010
456,WOS:000209568000008
457,WOS:000209568000009
458,WOS:000209568000010
459,WOS:000209572100009
460,WOS:000209575700003
461,WOS:000209575800002
462,WOS:000209575800004
463,WOS:000209576100006
464,WOS:000209578000010
465,WOS:000209578400002
466,WOS:000209579000003
467,WOS:000209579000009
468,WOS:000209582800003
469,WOS:000209595400001
470,WOS:000209597300001
471,WOS:000209605400027
472,WOS:000209612300001
473,WOS:000209619900003
474,WOS:000209624300004
475,WOS:000209628900004
476,WOS:000209628900006
477,WOS:000209629000101
478,WOS:000209629000123
479,WOS:000209629000182
480,WOS:000209629300065
481,WOS:000209629300104
482,WOS:000209629300229
483,WOS:000209629300256
484,WOS:000209631100011
485,WOS:000209634900007
486,WOS:000209637400042
487,WOS:000209637900018
488,WOS:000209638300013
489,WOS:000209639700008
490,WOS:000209639700018
491,WOS:000209642700010
492,WOS:000209643200008
493,WOS:000209644300004
494,WOS:000209644400007
495,WOS:000209645200018
496,WOS:000209645400017
497,WOS:000209648800007
498,WOS:000209649300015
499,WOS:000209665100059
500,WOS:000209668700017
501,WOS:000209669000005
502,WOS:000209669400006
503,WOS:000209672700009
504,WOS:000209672800002
505,WOS:000209678300013
506,WOS:000209678600079
507,WOS:000209678600091
508,WOS:000209678600093
509,WOS:000209678600113
510,WOS:000209685800006
511,WOS:000209692100005
512,WOS:000209698500015
513,WOS:000209701500031
514,WOS:000209701500106
515,WOS:000209701500159
516,WOS:000209701500231
517,WOS:000209701500340
518,WOS:000209701500365
519,WOS:000209701501146
520,WOS:000209701501203
521,WOS:000209701501221
522,WOS:000209701501356
523,WOS:000209701501416
524,WOS:000209701502111
525,WOS:000209701502432
526,WOS:000209701503015
527,WOS:000209701503193
528,WOS:000209701504057
529,WOS:000209701504065
530,WOS:000209701504152
531,WOS:000209701504397
532,WOS:000209701504493
533,WOS:000209701505056
534,WOS:000209701505292
535,WOS:000209701505307
536,WOS:000209701600020
537,WOS:000209701600232
538,WOS:000209701600244
539,WOS:000209701600369
540,WOS:000209701600391
541,WOS:000209701601069
542,WOS:000209701601210
543,WOS:000209701601341
544,WOS:000209701601345
545,WOS:000209701601380
546,WOS:000209701601384
547,WOS:000209701601390
548,WOS:000209701601421
549,WOS:000209701603040
550,WOS:000209701603050
551,WOS:000209701603084
552,WOS:000209701603387
553,WOS:000209701604099
554,WOS:000209701604294
555,WOS:000209701604309
556,WOS:000209701604372
557,WOS:000209701604374
558,WOS:000209701604455
559,WOS:000209701604465
