aid,attribute
1,""
2,Acad Sci Res & Technol
3,AgroParisTech
4,CNRS
5,Coll Chem & Chem Engn
6,Coll Med
7,Collaborat Innovat Ctr Chem & Mol Med
8,Collaborat Innovat Ctr Genet & Dev
9,Dept Epidemiol
10,Dept Gynaecol Oncol
11,Dept Hlth Serv Res
12,Dept Mol
13,Dept Neurosci
14,Evolu
15,Huck Inst
16,Inst Pharmacol
17,Ist Zooprofilatt Sperimentale Venezie
18,MOE Key Lab Analyt Sci Food Safety & Biol
19,Sch Med
20,Sorbonne Univ
21,UF Hlth Canc Ctr
22,Univ Pierre & Marie Curie
23,154 Hosp
24,1Med Oncol
25,21st Century Oncol
26,2Florida Sea Grant & UF IFAS
27,5LIGO
28,A Bianchi Bonomi Hemophilia & Thrombosis Ctr
29,A Gemelli Sch Med
30,A Gemelli Univ Hosp
31,A MIDEX
32,A Watson Armour Ctr Anim Hlth & Welf 3
33,A Webb Roberts Ctr Continuing Med Educ
34,A Ya Usikov Inst Radiophys & Elect
35,A&M Coll
36,AAAI
37,AAAS Sci & Technol
38,AB Chandler Med Ctr
39,AB Freeman Sch Business
40,ABC
41,ABE Dept
42,ABT Associates Inc
43,AC
44,AC Immune SA
45,AC Mazatlan Unit Aquaculture & Environm Managemen
46,ACCSTR
47,ACI Unit
48,ACI Unit Proc Dev Grp
49,ACIS
50,ACIS Lab
51,ACR ITR VIEnna
52,ACSEL
53,ACT Study Grp
54,ACTA
55,ACTION Hlth Canc Task Force
56,ACTREC
57,ADAMUS Lab
58,ADHD Outpatient Clin
59,ADME Biol
60,AEC LHEP
61,AF Ioffe Phys Tech Inst
62,AF Ioffe Physicotech Inst
63,AF Res Lab
64,AFMB
65,AFRL
66,AFRL Munit Directorate
67,AFSC
68,AG Funct Cell Biol
69,AGAP Res Unit
70,AGAPLESION Bethesda Hosp
71,AGIR
72,AHDC Endocrinol Lab
73,AI Virtanen Inst Mol Sci
74,AIAA
75,AIBN
76,AIDS & Canc Specimen Resource
77,AIDS & Canc Virus Program
78,AIDS Clin Trial Unit
79,AIGRC
80,AIMS JCU
81,AIRC
82,AIRC Div Metab Mech Dis
83,AIRC Start UP Unit
84,AISG Dept
85,AIST
86,AKH
87,AL Khwarizmi Coll Engn
88,ALARC
89,ALGORITMI Res Ctr
90,ALPHA Unit
91,ALS
